Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
0,1,2,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz']",2115.0,13244.252443313599,62.07110524177551,0.7,84.29349999999998
1,1,3,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz']",2720.0,13778.172016143799,63.32405388355255,0.7,84.10825
2,1,4,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz']",3330.0,14247.066020965576,66.60593658685684,0.75,85.196
3,1,5,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz']",3000.0,14078.303813934326,35.75598746538162,0.4,84.8445
4,1,6,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz']",2460.0,13184.093475341797,58.14285933971405,0.6499999999999999,84.84925
5,1,7,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz']",2185.0,13755.259037017822,54.551059901714325,0.6,84.151
6,1,8,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz']",3200.0,13627.580642700195,48.81825953722,0.55,85.10575
7,1,9,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz']",3360.0,13687.106847763062,53.541769087314606,0.6,85.19125
8,1,10,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz']",3110.0,14013.891220092773,53.276265263557434,0.6,84.62124999999999
9,1,11,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz']",2940.0,13449.351787567139,58.33629637956619,0.6499999999999999,84.702
10,1,12,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz']",2460.0,13158.895254135132,49.07349497079849,0.55,84.474
11,1,13,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz']",2051.0,12689.468145370483,58.65089625120163,0.6499999999999999,82.07525
12,1,14,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",3339.0,14105.745315551758,58.129459619522095,0.6499999999999999,84.92049999999999
13,1,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",1988.0,13230.669260025024,58.24293404817581,0.6499999999999999,83.00625
14,1,16,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_16_local.npz']",2295.0,13480.856657028198,53.99500608444214,0.6,84.08924999999999
15,1,17,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_17_local.npz']",2928.0,14120.840549468994,49.40386384725571,0.55,84.4835
16,1,18,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz']",2196.0,13503.63802909851,52.85401463508606,0.6,83.61425
17,1,19,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_19_local.npz']",3358.0,14186.230421066284,44.15062993764877,0.5,84.67349999999999
18,1,20,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_20_local.npz']",3155.0,13958.755493164062,62.95572102069855,0.7,85.1865
19,1,21,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_21_local.npz']",3366.0,13703.073263168335,61.520161628723145,0.7,84.42175
20,1,22,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_22_local.npz']",2813.0,13694.774150848389,53.76421809196472,0.6,84.1035
21,1,23,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_23_local.npz']",2077.0,13332.269668579102,65.56516021490097,0.75,83.657
22,1,24,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_24_local.npz']",1937.0,13193.074941635132,54.47691947221756,0.6,76.99749999999999
23,1,25,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_25_local.npz']",2275.0,12843.97292137146,58.588073551654816,0.6499999999999999,79.268
24,1,26,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_26_local.npz']",2411.0,12917.531728744507,40.64199537038803,0.44999999999999996,84.45975
25,1,27,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_27_local.npz']",3046.0,13330.868482589722,44.7149384021759,0.5,84.759
26,1,28,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_28_local.npz']",3150.0,13909.192323684692,53.03329288959503,0.6,83.63324999999999
27,1,29,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_29_local.npz']",3236.0,13485.570669174194,47.35479146242142,0.55,77.55324999999999
28,1,30,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_30_local.npz']",2959.0,13854.699850082397,54.422363340854645,0.6,71.91024999999999
29,1,31,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz']",3190.0,13986.228942871094,53.66144120693207,0.6,85.2055
30,1,32,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz']",2115.0,13244.252443313599,62.07110524177551,0.7,84.29349999999998
31,1,33,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz']",2720.0,13778.172016143799,63.32405388355255,0.7,84.10825
32,1,34,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz']",3330.0,14247.066020965576,66.60593658685684,0.75,85.196
33,1,35,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz']",3000.0,14078.303813934326,35.75598746538162,0.4,84.8445
34,1,36,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz']",2460.0,13184.093475341797,58.14285933971405,0.6499999999999999,84.84925
35,1,37,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz']",2185.0,13755.259037017822,54.551059901714325,0.6,84.151
36,1,38,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz']",3200.0,13627.580642700195,48.81825953722,0.55,85.10575
37,1,39,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz']",3360.0,13687.106847763062,53.541769087314606,0.6,85.19125
38,1,40,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz']",3110.0,14013.891220092773,53.276265263557434,0.6,84.62124999999999
39,1,41,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz']",2940.0,13449.351787567139,58.33629637956619,0.6499999999999999,84.702
40,1,42,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz']",2460.0,13158.895254135132,49.07349497079849,0.55,84.474
41,1,43,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz']",2051.0,12689.468145370483,58.65089625120163,0.6499999999999999,82.07525
42,1,44,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",3339.0,14105.745315551758,58.129459619522095,0.6499999999999999,84.92049999999999
43,1,45,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",1988.0,13230.669260025024,58.24293404817581,0.6499999999999999,83.00625
44,1,46,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_16_local.npz']",2295.0,13480.856657028198,53.99500608444214,0.6,84.08924999999999
45,1,47,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_17_local.npz']",2928.0,14120.840549468994,49.40386384725571,0.55,84.4835
46,1,48,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz']",2196.0,13503.63802909851,52.85401463508606,0.6,83.61425
47,1,49,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_19_local.npz']",3358.0,14186.230421066284,44.15062993764877,0.5,84.67349999999999
48,1,50,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_20_local.npz']",3155.0,13958.755493164062,62.95572102069855,0.7,85.1865
49,1,51,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_21_local.npz']",3366.0,13703.073263168335,61.520161628723145,0.7,84.42175
50,1,52,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_22_local.npz']",2813.0,13694.774150848389,53.76421809196472,0.6,84.1035
51,1,53,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_23_local.npz']",2077.0,13332.269668579102,65.56516021490097,0.75,83.657
52,1,54,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_24_local.npz']",1937.0,13193.074941635132,54.47691947221756,0.6,76.99749999999999
53,1,55,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_25_local.npz']",2275.0,12843.97292137146,58.588073551654816,0.6499999999999999,79.268
54,1,56,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_26_local.npz']",2411.0,12917.531728744507,40.64199537038803,0.44999999999999996,84.45975
55,1,57,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_27_local.npz']",3046.0,13330.868482589722,44.7149384021759,0.5,84.759
56,1,58,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_28_local.npz']",3150.0,13909.192323684692,53.03329288959503,0.6,83.63324999999999
57,1,59,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_29_local.npz']",3236.0,13485.570669174194,47.35479146242142,0.55,77.55324999999999
58,1,60,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_30_local.npz']",2959.0,13854.699850082397,54.422363340854645,0.6,71.91024999999999
59,1,61,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz']",3190.0,13986.228942871094,53.66144120693207,0.6,85.2055
60,1,62,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz']",2115.0,13244.252443313599,62.07110524177551,0.7,84.29349999999998
61,1,63,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz']",2720.0,13778.172016143799,63.32405388355255,0.7,84.10825
