Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
0,1,2,3,4,5,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz']",6380.0,34368.45088005066,58.90596854686737,0.66,88.58800000000001
1,1,2,3,4,6,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz']",5840.0,33474.24054145813,67.86071729660034,0.76,88.59
2,1,2,3,4,7,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz']",5565.0,34045.406103134155,66.42399752140045,0.74,88.296
3,1,2,3,4,8,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz']",6580.0,33917.72770881653,64.13087737560272,0.72,88.69800000000001
4,1,2,3,4,9,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz']",6740.0,33977.253913879395,66.02028119564056,0.74,88.734
5,1,2,3,4,10,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz']",6490.0,34304.03828620911,65.9140796661377,0.74,88.494
6,1,2,3,4,11,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz']",6320.0,33739.49885368347,67.9380921125412,0.76,88.528
7,1,2,3,4,12,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz']",5840.0,33449.042320251465,64.23297154903412,0.72,88.432
8,1,2,3,4,13,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz']",5431.0,32979.61521148682,68.06393206119537,0.76,87.42200000000001
9,1,2,3,4,14,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",6719.0,34395.89238166809,67.85535740852356,0.76,88.62
10,1,2,3,4,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",5368.0,33520.81632614136,67.90074717998505,0.76,87.81400000000001
11,1,2,3,4,16,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_16_local.npz']",5675.0,33771.00372314453,66.20157599449158,0.74,88.27000000000001
12,1,2,3,5,6,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz']",5510.0,33305.47833442688,55.520737648010254,0.62,88.44200000000001
