,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,3730,3072,48.64,5.956566333770752,5956.566333770752,0.16788195479843818,5832.542540073982,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_1_local.npz,373,373,373,373,373,373,373,373,373,373,"[48.64000082015991, 48.64000082015991, 40.67023992538452]",45.98341385523478,0.3333333333333333
1,2,IID,1430,3072,40.2,4.938850164413452,4938.850164413452,0.20247627822472358,8767.733086190918,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_2_local.npz,143,143,143,143,143,143,143,143,143,143,"[13.916084170341492, 31.53846263885498, 38.74125778675079]",28.06526819864909,1.0
2,3,IID,1470,3072,37.94,4.931859970092773,4931.859970092773,0.2027632589051771,6155.0969420949905,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_3_local.npz,147,147,147,147,147,147,147,147,147,147,"[15.306122601032257, 37.940001487731934, 37.940001487731934]",30.395375192165375,0.3333333333333333
3,4,IID,2340,3072,43.79,5.4165942668914795,5416.5942668914795,0.18461785223833801,9122.838958534234,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_4_local.npz,234,234,234,234,234,234,234,234,234,234,"[43.790000677108765, 43.790000677108765, 39.31623995304108]",42.29874710241953,0.3333333333333333
4,5,IID,2380,3072,47.02,5.223160743713379,5223.160743713379,0.1914549540148855,5991.376820772641,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_5_local.npz,238,238,238,238,238,238,238,238,238,238,"[15.168067812919617, 33.151260018348694, 47.02000021934509]",31.779776016871136,0.6666666666666666
5,6,IID,3500,3072,49.43,5.889534950256348,5889.534950256348,0.1697926930472624,8017.274576271187,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_6_local.npz,350,350,350,350,350,350,350,350,350,350,"[13.942857086658478, 31.942856311798096, 49.43000078201294]",31.77190472682317,0.6666666666666666
6,7,IID,1570,3072,38.66,5.0440192222595215,5044.0192222595215,0.19825459736294174,5468.430057803468,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_7_local.npz,157,157,157,157,157,157,157,157,157,157,"[14.77707028388977, 38.6599987745285, 40.00000059604645]",31.145689884821575,0.6666666666666666
7,8,IID,1570,3072,41.27,5.072926759719849,5072.926759719849,0.19712486447472874,6095.6082474226805,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_8_local.npz,157,157,157,157,157,157,157,157,157,157,"[41.269999742507935, 31.91082775592804, 38.5987251996994]",37.259850899378456,0.6666666666666666
8,9,IID,3960,3072,48.01,5.978495359420776,5978.495359420776,0.1672661664651496,5843.350216182829,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_9_local.npz,396,396,396,396,396,396,396,396,396,396,"[14.09090906381607, 48.010000586509705, 48.010000586509705]",36.703636745611824,0.3333333333333333
9,10,IID,3760,3072,50.9,6.471008777618408,6471.008777618408,0.15453541084023073,10762.666666666666,/content/drive/MyDrive/MLaaS_Weights_100_CIFAR/client_10_local.npz,376,376,376,376,376,376,376,376,376,376,"[50.90000033378601, 33.3776593208313, 39.46808576583862]",41.24858180681864,0.6666666666666666
