,Client_ID,Local_Accuracy(%),Latency(ms),C_p,BW,FeatureCount,Weights_Path,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
1,1,47.55,4133.072853088379,0.24195073146430615,1986.2238085240394,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_1_local.npz,"[10.000000149011612, 10.000000149011612, 47.54999876022339, 10.000000149011612, 10.000000149011612]",17.509999871253967,0.8
2,2,43.27,2305.532932281494,0.4337391958268089,5189.459133296764,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_2_local.npz,"[10.000000149011612, 43.27000081539154, 10.000000149011612, 43.27000081539154, 10.000000149011612]",23.308000415563583,0.6
3,3,37.73,2247.833013534546,0.4448729038050635,5938.721908349027,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_3_local.npz,"[10.000000149011612, 10.000000149011612, 37.72999942302704, 10.000000149011612, 10.000000149011612]",15.546000003814697,0.8
4,4,43.56,2339.4570350646973,0.4274496111754175,5091.702906350915,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_4_local.npz,"[43.560001254081726, 43.560001254081726, 43.560001254081726, 43.560001254081726, 10.000000149011612]",36.8480010330677,0.2
5,5,49.58,2345.153570175171,0.42641130743745076,5449.529953917051,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_5_local.npz,"[49.57999885082245, 49.57999885082245, 10.000000149011612, 49.57999885082245, 49.57999885082245]",41.66399911046028,0.2
6,6,39.24,2271.3558673858643,0.44026566438085907,5883.3233830845775,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_6_local.npz,"[39.239999651908875, 10.000000149011612, 10.000000149011612, 39.239999651908875, 39.239999651908875]",27.54399985074997,0.4
7,7,38.51,2271.9783782958984,0.4401450337525007,5294.003357582541,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_7_local.npz,"[38.510000705718994, 10.000000149011612, 38.510000705718994, 10.000000149011612, 10.000000149011612]",21.404000371694565,0.6
8,8,38.34,2319.4491863250732,0.4311368431331735,5949.927044025158,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_8_local.npz,"[10.000000149011612, 38.339999318122864, 38.339999318122864, 10.000000149011612, 10.000000149011612]",21.335999816656113,0.6
9,9,41.15,2294.8269844055176,0.4357626987984252,5270.408913649025,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_9_local.npz,"[41.15000069141388, 10.000000149011612, 10.000000149011612, 41.15000069141388, 10.000000149011612]",22.46000036597252,0.6
10,10,46.83,2299.4213104248047,0.43489202934074567,5846.961681087762,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_10_local.npz,"[46.83000147342682, 46.83000147342682, 10.000000149011612, 10.000000149011612, 10.000000149011612]",24.732000678777695,0.6
11,11,37.2,2256.577253341675,0.44314902072115636,4911.933541017653,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_11_local.npz,"[10.000000149011612, 37.20000088214874, 10.000000149011612, 10.000000149011612, 37.20000088214874]",20.880000442266464,0.6
12,12,40.26,2398.862600326538,0.4168642255141574,5825.35960591133,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_12_local.npz,"[40.25999903678894, 40.25999903678894, 10.000000149011612, 40.25999903678894, 10.000000149011612]",28.15599948167801,0.4
13,13,39.23,2247.727155685425,0.4448938553198458,5203.731573157315,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_13_local.npz,"[10.000000149011612, 10.000000149011612, 39.2300009727478, 39.2300009727478, 10.000000149011612]",21.69200047850609,0.6
14,14,46.18,2530.4150581359863,0.3951920839171118,5458.963646855164,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_14_local.npz,"[46.18000090122223, 46.18000090122223, 10.000000149011612, 10.000000149011612, 46.18000090122223]",31.708000600337982,0.4
15,15,45.89,2310.8201026916504,0.4327467979161151,5016.110286320254,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_15_local.npz,"[10.000000149011612, 45.89000046253204, 10.000000149011612, 10.000000149011612, 10.000000149011612]",17.1780002117157,0.8
16,16,47.11,2264.5862102508545,0.4415817757228272,5614.47121661721,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_16_local.npz,"[47.110000252723694, 10.000000149011612, 47.110000252723694, 47.110000252723694, 10.000000149011612]",32.26600021123886,0.4
17,17,40.64,2274.7445106506348,0.43960980906553526,5258.6903835464145,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_17_local.npz,"[10.000000149011612, 10.000000149011612, 40.63999950885773, 40.63999950885773, 10.000000149011612]",22.255999892950058,0.6
18,18,43.82,2374.3486404418945,0.42116813974458617,5814.6183159188695,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_18_local.npz,"[43.81999969482422, 10.000000149011612, 43.81999969482422, 43.81999969482422, 10.000000149011612]",30.291999876499176,0.4
19,19,42.37,2289.727210998535,0.4367332471731017,5503.422920302502,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_19_local.npz,"[42.37000048160553, 10.000000149011612, 42.37000048160553, 42.37000048160553, 10.000000149011612]",29.422000348567963,0.4
20,20,38.91,2298.247814178467,0.4351140872758583,5744.009714632665,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_20_local.npz,"[38.909998536109924, 10.000000149011612, 38.909998536109924, 10.000000149011612, 38.909998536109924]",27.3459991812706,0.4
21,21,44.04,2331.4380645751953,0.4289198221451391,5294.003357582541,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_21_local.npz,"[10.000000149011612, 10.000000149011612, 10.000000149011612, 44.040000438690186, 10.000000149011612]",16.808000206947327,0.8
22,22,46.08,2277.724266052246,0.439034704465436,5024.101964949548,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_22_local.npz,"[46.07999920845032, 46.07999920845032, 10.000000149011612, 46.07999920845032, 10.000000149011612]",31.647999584674835,0.4
23,23,44.36,2267.7276134490967,0.44097006804051375,5927.558897243108,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_23_local.npz,"[44.359999895095825, 44.359999895095825, 10.000000149011612, 44.359999895095825, 44.359999895095825]",37.48799994587898,0.2
24,24,40.43,2305.0622940063477,0.43382775493756187,5341.831733483908,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_24_local.npz,"[10.000000149011612, 10.000000149011612, 10.000000149011612, 10.000000149011612, 40.43000042438507]",16.086000204086304,0.8
25,25,46.79,2279.576301574707,0.43867801192230793,5983.797596457938,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_25_local.npz,"[46.790000796318054, 46.790000796318054, 46.790000796318054, 10.000000149011612, 46.790000796318054]",39.432000666856766,0.2
26,26,42.79,2295.69149017334,0.43559860036964,5273.346711259755,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_26_local.npz,"[42.78999865055084, 42.78999865055084, 10.000000149011612, 10.000000149011612, 10.000000149011612]",23.115999549627304,0.6
27,27,39.38,2266.399383544922,0.44122849982242734,5378.274019329165,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_27_local.npz,"[39.37999904155731, 10.000000149011612, 10.000000149011612, 39.37999904155731, 39.37999904155731]",27.627999484539032,0.4
28,28,45.12,2262.5062465667725,0.4419877299863567,5229.620784964069,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_28_local.npz,"[10.000000149011612, 10.000000149011612, 45.1200008392334, 10.000000149011612, 10.000000149011612]",17.02400028705597,0.8
29,29,39.67,2323.0719566345215,0.4304644964371741,5519.477246207702,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_29_local.npz,"[10.000000149011612, 39.6699994802475, 39.6699994802475, 10.000000149011612, 39.6699994802475]",27.801999747753143,0.4
30,30,39.93,2322.551488876343,0.43056096055971743,5772.046369737644,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_30_local.npz,"[39.93000090122223, 39.93000090122223, 10.000000149011612, 39.93000090122223, 39.93000090122223]",33.944000750780106,0.2
31,31,44.79,2270.7018852233887,0.4403924647737813,5890.650062266501,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_31_local.npz,"[44.78999972343445, 44.78999972343445, 10.000000149011612, 44.78999972343445, 10.000000149011612]",30.873999893665314,0.4
32,32,39.15,2309.18550491333,0.43305312538653434,5223.845389287686,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_32_local.npz,"[10.000000149011612, 10.000000149011612, 39.14999961853027, 10.000000149011612, 10.000000149011612]",15.830000042915344,0.8
33,33,42.87,2268.7950134277344,0.4407626048548048,5390.532193732194,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_33_local.npz,"[42.87000000476837, 42.87000000476837, 42.87000000476837, 10.000000149011612, 10.000000149011612]",29.722000062465668,0.4
34,34,39.33,2307.041883468628,0.433455502982245,6052.70889315419,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_34_local.npz,"[39.329999685287476, 10.000000149011612, 39.329999685287476, 10.000000149011612, 39.329999685287476]",27.59799987077713,0.4
35,35,42.14,2330.410957336426,0.429108864619725,5868.724565756824,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_35_local.npz,"[42.14000105857849, 10.000000149011612, 42.14000105857849, 10.000000149011612, 42.14000105857849]",29.28400069475174,0.4
36,36,34.24,2265.0821208953857,0.4414850970633685,5868.724565756824,3072,/content/drive/MyDrive/mlaas_weights_cifar10/client_36_local.npz,"[10.000000149011612, 10.000000149011612, 10.000000149011612, 10.000000149011612, 34.24000144004822]",14.848000407218933,0.8
