,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,3980,784,83.02,3.003237724304199,3003.237724304199,0.332973974023879,5901.6949152542375,/content/drive/MyDrive/mlaas_weights100_fmnist/client_1_local.npz,398,398,398,398,398,398,398,398,398,398,"[83.02000164985657, 83.02000164985657, 83.02000164985657, 80.82914352416992, 83.02000164985657]",82.58183002471924,0.2
1,2,IID,2720,784,80.22,2.8065383434295654,2806.5383434295654,0.3563108276575365,5120.588235294118,/content/drive/MyDrive/mlaas_weights100_fmnist/client_2_local.npz,272,272,272,272,272,272,272,272,272,272,"[80.22000193595886, 77.02205777168274, 79.63235378265381, 80.22000193595886, 80.22000193595886]",79.46288347244263,0.4
2,3,IID,3970,784,82.02,2.9093873500823975,2909.3873500823975,0.3437149748972679,4220.606060606061,/content/drive/MyDrive/mlaas_weights100_fmnist/client_3_local.npz,397,397,397,397,397,397,397,397,397,397,"[67.12846159934998, 82.02000260353088, 78.76574397087097, 80.07556796073914, 82.69521594047546]",78.13699841499329,0.8
3,4,IID,1370,784,74.12,2.632246494293213,2632.246494293213,0.37990363066985905,5901.6949152542375,/content/drive/MyDrive/mlaas_weights100_fmnist/client_4_local.npz,137,137,137,137,137,137,137,137,137,137,"[66.64233803749084, 74.11999702453613, 74.11999702453613, 79.34306859970093, 81.38686418533325]",75.12245297431946,0.6
4,5,IID,1290,784,78.55,2.5378267765045166,2537.8267765045166,0.3940379261729412,5876.793248945148,/content/drive/MyDrive/mlaas_weights100_fmnist/client_5_local.npz,129,129,129,129,129,129,129,129,129,129,"[67.28681921958923, 78.54999899864197, 78.54999899864197, 81.7829430103302, 83.79845023155212]",77.9936420917511,0.6
5,6,IID,1680,784,76.78,2.5956814289093018,2595.6814289093018,0.38525528936738485,5779.253112033195,/content/drive/MyDrive/mlaas_weights100_fmnist/client_6_local.npz,168,168,168,168,168,168,168,168,168,168,"[66.54762029647827, 76.7799973487854, 79.16666865348816, 80.47618865966797, 76.7799973487854]",75.95009446144104,0.6
6,7,IID,1450,784,78.09,2.5674126148223877,2567.4126148223877,0.38949719037240904,5952.136752136752,/content/drive/MyDrive/mlaas_weights100_fmnist/client_7_local.npz,145,145,145,145,145,145,145,145,145,145,"[67.58620738983154, 77.65517234802246, 80.06896376609802, 78.09000015258789, 82.89655447006226]",77.25937962532043,0.8
7,8,IID,1190,784,72.77,2.602365732192993,2602.365732192993,0.38426574237023475,4285.538461538462,/content/drive/MyDrive/mlaas_weights100_fmnist/client_8_local.npz,119,119,119,119,119,119,119,119,119,119,"[67.64705777168274, 72.76999950408936, 79.49579954147339, 72.76999950408936, 72.76999950408936]",73.09057116508484,0.4
8,9,IID,3440,784,82.67,2.917917490005493,2917.917490005493,0.34271017032702916,5827.615062761506,/content/drive/MyDrive/mlaas_weights100_fmnist/client_9_local.npz,344,344,344,344,344,344,344,344,344,344,"[82.669997215271, 77.06395387649536, 79.09883856773376, 80.08720874786377, 82.7616274356842]",80.33632516860962,0.8
9,10,IID,1040,784,77.25,2.515554904937744,2515.554904937744,0.39752660458219985,5419.455252918288,/content/drive/MyDrive/mlaas_weights100_fmnist/client_10_local.npz,104,104,104,104,104,104,104,104,104,104,"[67.0192301273346, 75.09615421295166, 77.24999785423279, 77.24999785423279, 77.24999785423279]",74.77307558059692,0.4
10,11,IID,1430,784,77.63,2.638927936553955,2638.927936553955,0.3789417612160529,5901.6949152542375,/content/drive/MyDrive/mlaas_weights100_fmnist/client_11_local.npz,143,143,143,143,143,143,143,143,143,143,"[69.44056153297424, 78.25174927711487, 77.63000130653381, 81.18880987167358, 77.63000130653381]",76.82822465896606,0.6
11,12,IID,3990,784,79.26,3.0108344554901123,3010.8344554901123,0.33213383690908277,5708.196721311476,/content/drive/MyDrive/mlaas_weights100_fmnist/client_12_local.npz,399,399,399,399,399,399,399,399,399,399,"[67.76942610740662, 79.25999760627747, 79.44862246513367, 79.25999760627747, 79.25999760627747]",76.99960827827454,0.4
12,13,IID,2430,784,80.29,3.1261074542999268,3126.1074542999268,0.31988663685392865,4259.327217125382,/content/drive/MyDrive/mlaas_weights100_fmnist/client_13_local.npz,243,243,243,243,243,243,243,243,243,243,"[80.29000163078308, 77.73662805557251, 79.91769313812256, 80.29000163078308, 82.18107223510742]",80.08307933807373,0.6
13,14,IID,1140,784,76.25,2.577284812927246,2577.284812927246,0.388005235193317,5926.808510638298,/content/drive/MyDrive/mlaas_weights100_fmnist/client_14_local.npz,114,114,114,114,114,114,114,114,114,114,"[67.8947389125824, 77.10526585578918, 79.64912056922913, 80.7894766330719, 76.2499988079071]",76.33772015571594,0.8
14,15,IID,1840,784,79.39,2.6133873462677,2613.3873462677,0.38264515263232846,5755.371900826446,/content/drive/MyDrive/mlaas_weights100_fmnist/client_15_local.npz,184,184,184,184,184,184,184,184,184,184,"[69.7282612323761, 78.53260636329651, 79.39000129699707, 79.39000129699707, 83.2065224647522]",78.04947853088379,0.6
