,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,1740,784,90.87,4.371705770492554,4371.705770492554,0.2287436649441601,15649.438202247191,/content/drive/MyDrive/mlaas_weights100/client_1_local.npz,174,174,174,174,174,174,174,174,174,174,"[77.01149582862854, 90.86999893188477, 90.86999893188477, 91.1494255065918, 91.83908104896545]",88.34800004959106,0.6
1,2,IID,3610,784,92.86,3.4665634632110596,3466.5634632110596,0.2884701262828476,20482.352941176472,/content/drive/MyDrive/mlaas_weights100/client_2_local.npz,361,361,361,361,361,361,361,361,361,361,"[77.09141373634338, 88.33795189857483, 90.55401682853699, 91.13573431968689, 91.99445843696594]",87.8227150440216,1.0
2,3,IID,3380,784,92.89,3.1900246143341064,3190.0246143341064,0.31347720500543613,4819.377162629758,/content/drive/MyDrive/mlaas_weights100/client_3_local.npz,338,338,338,338,338,338,338,338,338,338,"[92.89000034332275, 88.04733753204346, 92.89000034332275, 92.89000034332275, 92.01183319091797]",91.74583435058594,0.4
3,4,IID,2730,784,92.29,3.1143572330474854,3114.3572330474854,0.3210935436014423,5901.6949152542375,/content/drive/MyDrive/mlaas_weights100/client_4_local.npz,273,273,273,273,273,273,273,273,273,273,"[77.03296542167664, 92.29000210762024, 89.96337056159973, 92.29000210762024, 92.23443269729614]",88.7621545791626,0.6
4,5,IID,2180,784,90.51,3.0030229091644287,3003.0229091644287,0.3329977926402977,5952.136752136752,/content/drive/MyDrive/mlaas_weights100/client_5_local.npz,218,218,218,218,218,218,218,218,218,218,"[77.38531827926636, 87.98165321350098, 90.50999879837036, 90.91743230819702, 91.28440618515015]",87.61576175689697,0.8
5,6,IID,1600,784,90.28,1.8621695041656494,1862.1695041656494,0.5370080423737006,4352.5,/content/drive/MyDrive/mlaas_weights100/client_6_local.npz,160,160,160,160,160,160,160,160,160,160,"[76.31250023841858, 90.28000235557556, 91.25000238418579, 92.25000143051147, 92.93749928474426]",88.60600113868713,0.8
6,7,IID,3050,784,92.54,2.79514479637146,2795.14479637146,0.3577632190282801,6055.652173913043,/content/drive/MyDrive/mlaas_weights100/client_7_local.npz,305,305,305,305,305,305,305,305,305,305,"[76.91803574562073, 87.83606290817261, 89.77048993110657, 92.54000186920166, 92.54000186920166]",87.92091846466064,0.6
7,8,IID,1770,784,90.53,2.634251356124878,2634.251356124878,0.37961449566113253,5901.6949152542375,/content/drive/MyDrive/mlaas_weights100/client_8_local.npz,177,177,177,177,177,177,177,177,177,177,"[90.53000211715698, 88.41807842254639, 90.2259886264801, 90.53000211715698, 92.20339059829712]",90.38149237632751,0.6
8,9,IID,1000,784,86.43,2.7527260780334473,2752.7260780334473,0.36327624749150556,6082.096069868996,/content/drive/MyDrive/mlaas_weights100/client_9_local.npz,100,100,100,100,100,100,100,100,100,100,"[86.4300012588501, 87.00000047683716, 86.4300012588501, 90.49999713897705, 91.20000004768372]",88.31200003623962,0.6
9,10,IID,3170,784,91.14,3.0798213481903076,3079.8213481903076,0.3246941581814791,5803.333333333333,/content/drive/MyDrive/mlaas_weights100/client_10_local.npz,317,317,317,317,317,317,317,317,317,317,"[91.14000201225281, 91.14000201225281, 90.85173606872559, 91.7350172996521, 92.64984130859375]",91.50331974029541,0.6
